"강북구","1","46298985","21340038","24958954","5894765","6769086","6054663","6853583","7480369","13246541","12332073","9469533","5373702","5388967","7653968","6080744","6567360","6536903","6518748","6548052","6574542","6737611","6815757"
"동대문구","2","50495114","24496770","25998345","6319370","9966076","7576441","7250389","7257980","12124865","12186330","10593918","6517212","6451483","8518225","6227946","7275659","7264346","7241725","7269898","7247152","7130207","7066119"
"동대문구","1","50243556","24420210","25823347","6094221","9582230","7612026","7300806","7307248","12347008","12074309","10479080","6509909","6481077","8506007","6193183","7224399","7241903","7235903","7193455","7130753","7123435","7093716"
"강북구","3","44757573","20631289","24126280","5696919","6484582","5899805","6646627","7254206","12775454","11980506","9116519","5175609","5196128","7392703","5896107","6351947","6358595","6353208","6322555","6336565","6486826","6547864"
"강북구","2","45286157","20770929","24515227","5804953","6674455","5897233","6709816","7327583","12872119","12191754","9245489","5194983","5204476","7461571","5987894","6431279","6406307","6429922","6394243","6407302","6569820","6647291"
"동대문구","4","52202681","25266874","26935808","6364621","10661831","7843991","7506167","7432301","12393763","12706338","10965944","6722249","6649722","8719729","6438682","7474924","7514771","7518569","7500445","7454824","7386973","7352176"
"동대문구","3","50538275","24527104","26011171","6087288","9799149","7712490","7375115","7298108","12266156","12228309","10597761","6511722","6462114","8508146","6230249","7226497","7240798","7286304","7299132","7261065","7156665","7067819"
"은평구","1","64171656","28943268","35228386","9697329","8791297","9727321","9971664","9666415","16317643","17326429","13076852","7217756","7246314","10673207","8631104","9074913","9010749","9006974","9039405","9075702","9428401","9535523"
"은평구","2","62813111","28187424","34625702","9607172","8593141","9464984","9798302","9472504","15877026","17183403","12791846","6963617","6985120","10384785","8504343","8885534","8851829","8904479","8837523","8855937","9190607","9287201"
"은평구","3","62487925","28049721","34438208","9535004","8575958","9376719","9732191","9482114","15785940","16936491","12694087","7016360","7069261","10368667","8403067","8844843","8835705","8849158","8814235","8817494","9122600","9203913"
"은평구","4","62196768","27878419","34318346","9656889","8462657","9350164","9659482","9391223","15676350","16945515","12671244","6922953","6984141","10285319","8387617","8875664","8777677","8762926","8752404","8776430","9069394","9182287"
"양천구","1","41309455","19425073","21884382","7868753","5076213","5966340","6641208","6235045","9521896","11077859","8384390","4757030","4782300","6849313","5458562","5859327","5826190","5824674","5833895","5849174","6028509","6087694"
"양천구","2","40444411","18995521","21448881","7851099","4934423","5838011","6491535","6049620","9279715","11060811","8169107","4566105","4595808","6656646","5395930","5723745","5710466","5738954","5707515","5725755","5896543","5941431"
"양천구","3","40250827","18945042","21305786","7765798","4970660","5806646","6464474","6015587","9227667","10914457","8119116","4604260","4627556","6652049","5333392","5694544","5704319","5719044","5703099","5699483","5840681","5889661"
"양천구","4","39723104","18727364","20995752","7631428","4813092","5756509","6450948","5935430","9135697","10844574","8039533","4502370","4527424","6538043","5271170","5664434","5619118","5611914","5605103","5617707","5768619","5836215"
"도봉구","1","28822225","13475458","15346768","4146678","3643539","3702921","4175858","4726157","8427085","7422678","5866422","3423746","3450928","4904168","3754294","4062481","4045965","4037606","4068116","4079532","4235091","4293422"
"강동구","1","69020725","32433755","36586955","10641727","8830628","10866720","10868164","10782135","17031335","18389656","14183131","8055904","8031914","11391250","8968867","9811879","9761937","9744147","9756368","9754787","10029814","10161789"
"도봉구","2","28275399","13153081","15122316","4043699","3568928","3609488","4114183","4614759","8324346","7384480","5744445","3308635","3337123","4792669","3708051","3987041","3972436","3995652","3972749","3974502","4151508","4221513"
"강동구","3","71931158","33857803","38073352","11505442","9125399","11263729","11484542","11096064","17455978","19345985","14708194","8313455","8312620","11825953","9424960","10204154","10194626","10250020","10204901","10212394","10413524","10451550"
"강동구","2","68715797","32281457","36434340","10806077","8748465","10830019","10929173","10629120","16772952","18536966","14042113","7897371","7897564","11313911","9027893","9757846","9715531","9739839","9714277","9749924","9966604","10071804"
"강남구","2","84317047","41542660","42774397","10097850","15766920","19691184","16454651","10495432","11811025","15432663","17297461","13655252","13841647","15558839","8531187","12796392","13015653","12542568","13059438","12913144","10498228","9491622"
"강남구","1","83006719","40955877","42050838","9880366","15355559","19322051","16242365","10335692","11870686","15402138","16995235","13365221","13596815","15261175","8386130","12524442","12982183","12918303","12620927","12194558","10285834","9480498"
"강동구","4","71288680","33526302","37762371","11386548","8904565","11168101","11348909","11041693","17438862","19335385","14617170","8166216","8150824","11663347","9355746","10177349","10109928","10120200","10070177","10080798","10292170","10438043"
"도봉구","3","27691108","12899456","14791656","3944425","3467768","3533708","4036051","4526530","8182625","7176354","5614536","3263960","3297282","4712778","3626202","3932753","3923174","3914090","3876715","3885187","4048532","4110658"
"강남구","4","82535076","40874697","41660368","9770148","15495472","19278048","16321320","10380556","11289524","14890938","16829852","13429394","13638461","15339980","8406440","12025390","12762340","12793973","12789129","12498610","10302858","9362783"
"강남구","3","79845390","39439037","40406350","10011885","14734826","18235627","15683365","10027170","11152524","14780856","16520402","12927701","13088038","14485891","8042496","11724640","12055600","12218118","12465106","12278991","10021834","9081116"
"도봉구","4","27068627","12533646","14534983","3848177","3356699","3450118","3933144","4471276","8009218","7071989","5505961","3160915","3190977","4588428","3550364","3853322","3810307","3804910","3800402","3807929","3957472","4034295"
"서초구","4","57643572","28110548","29533022","7944543","9493082","11473216","10825195","7901262","10006276","12026387","11979884","8492944","8527644","10263892","6352836","8406807","8737463","8739718","8728341","8634752","7423810","6972682"
"서초구","3","56184441","27305371","28879075","8025744","9157222","11013559","10443694","7680324","9863903","11859185","11821560","8302136","8309472","9794192","6097915","8237489","8371121","8462928","8580246","8505806","7249404","6777459"
"서초구","2","57391695","27955024","29436681","7886423","9548010","11494820","10664313","7829034","9969108","11853917","11998790","8511849","8539012","10245129","6242993","8641253","8710650","8450927","8698873","8676349","7356497","6857167"
"서초구","1","56586261","27549572","29036680","7645165","9206164","11323947","10519756","7745002","10146243","11788859","11818379","8366011","8408583","10055687","6148747","8483372","8673906","8637751","8459631","8261231","7233648","6836723"
"성동구","2","30214532","14689351","15525179","3712638","5712606","5552756","4827452","4478881","5930179","6941694","6299004","4076820","4135433","5242618","3518954","4414931","4436117","4390567","4446669","4434600","4096202","3995438"
"성동구","3","28999547","14122432","14877121","3521553","5437454","5311485","4645393","4350086","5733596","6703295","6059214","3917757","3968721","4981057","3369536","4181490","4213161","4265742","4302896","4265188","3937494","3833577"
"성동구","1","29415529","14352251","15063277","3578991","5347196","5390847","4716231","4411972","5970287","6728031","6147084","3981773","4029897","5107903","3420842","4290808","4338595","4336630","4289641","4231479","3999788","3928602"
"영등포구","4","50065184","24642935","25422257","5444339","7800803","9766247","8279508","8058777","10715531","11830348","10278726","6502666","6576773","8739996","6136707","7151657","7216905","7207967","7201143","7210948","7045130","7031458"
"영등포구","1","49611861","24539360","25072509","5455540","7796049","9570205","8130679","7833834","10825582","11657572","10217461","6472625","6542817","8686673","6034730","7151524","7165079","7154165","7118635","7086005","6982098","6954362"
"영등포구","2","49811548","24543863","25267689","5477762","7845782","9656435","8203897","7910693","10716990","11788089","10268294","6454462","6515713","8705209","6079806","7185259","7185884","7136266","7173157","7200440","6992505","6938043"
"영등포구","3","48949560","24088602","24860971","5364038","7608499","9475173","8032590","7899337","10569945","11609095","10098540","6359818","6427081","8491672","5963374","7025190","7032885","7085539","7105194","7096604","6827217","6776955"
"용산구","3","33637800","16147038","17490763","3582477","5798754","7034586","5792619","4700317","6729070","8380901","7012508","4263493","4271337","5590774","4118793","4790677","4808060","4848008","4874211","4863030","4741463","4712353"
"용산구","4","34965110","16766124","18198993","3752672","6270031","7360331","5956525","4815321","6810229","8678437","7231281","4410850","4420763","5889992","4333804","4943316","4973128","4994433","4991013","5044501","5043627","4975087"
"용산구","1","34558477","16715978","17842497","3686453","5904687","7178824","6022895","4807335","6958285","8585051","7235852","4397142","4384392","5749460","4206566","4967174","4990715","4989338","4965832","4935575","4849807","4860041"
"성동구","4","29517131","14393137","15123997","3538607","5712952","5416596","4671385","4414005","5763593","6755264","6152746","4002621","4055122","5115672","3435713","4253173","4340045","4349836","4346559","4306452","4005411","3915651"
"용산구","2","34742525","16699783","18042746","3777962","6117580","7275160","5991961","4772883","6806980","8581678","7221995","4417798","4432046","5843133","4245879","4976260","4996258","4985189","4998330","5022967","4894214","4869320"
"중랑구","4","51985020","24319206","27665820","6812578","7163517","8008319","7696843","8812101","13491657","14162257","10533609","5839850","5893980","8621813","6933524","7401222","7321799","7310670","7295390","7313012","7604885","7738063"
"마포구","4","59775080","27294312","32480772","7224683","13478894","12273652","9962741","7266624","9568498","13833187","11699373","7736848","8076036","11031288","7398367","8434281","8504033","8551132","8576357","8643274","8670539","8395447"
"중랑구","1","55617463","26056328","29561139","7485916","7659458","8566041","8183790","9369881","14352384","15091541","11348417","6306465","6309297","9179370","7382385","7879285","7802679","7791055","7828398","7849912","8163263","8302876"
"중랑구","2","53963656","25188590","28775065","7237223","7496118","8283680","7975194","9065058","13906383","14829607","10956573","6026553","6047242","8887432","7216241","7639106","7604525","7634716","7581326","7587601","7899606","8016767"
"중랑구","3","53064810","24826616","28238190","6983929","7394643","8194053","7833934","8970489","13687767","14465007","10743496","5980597","6025798","8773536","7076394","7535378","7509643","7525219","7437946","7474813","7721331","7860490"
"마포구","1","58836384","27050271","31786105","7165623","12614805","12014326","9857640","7225793","9958201","13611939","11688949","7670595","7981690","10761298","7121922","8409918","8480150","8499279","8444092","8401413","8388063","8213473"
"마포구","2","59583025","27263632","32319394","7166073","13243949","12252071","9956603","7250080","9714266","13678694","11717213","7733969","8078226","11078051","7296889","8473235","8527392","8555508","8566752","8638993","8548983","8272165"
"마포구","3","58343914","26730469","31613443","7043583","12605116","11964625","9863643","7222609","9644346","13583364","11580867","7629656","7918114","10550316","7081609","8254941","8309145","8415986","8477663","8498411","8319207","8068548"
"관악구","4","69078041","34519284","34558748","6803855","17182912","13421036","9704295","8525957","13439992","18726145","14054652","7635672","7694498","11581967","9385120","9800163","9710461","9717019","9708202","9719437","10142179","10280583"
"관악구","3","68712926","34299050","34413868","6773270","16953661","13372246","9613431","8501932","13498368","18435094","13939220","7685312","7768407","11605992","9278898","9658954","9645564","9742208","9710670","9729318","10079360","10146820"
"관악구","2","69913426","34799987","35113437","7028548","17437173","13506764","9708653","8567362","13664912","18818207","14217747","7738306","7800208","11820437","9518524","9822395","9825972","9913997","9805794","9833474","10307302","10404502"
"관악구","1","70517368","35106770","35410600","6949541","17312626","13617359","9830158","8661711","14145983","18733712","14342691","7913134","7991396","11986786","9549656","9960493","9924154","9908715","9906939","9874957","10387433","10554672"
"동작구","3","41798385","19657028","22141360","5368446","8026658","7216952","6120752","5661697","9403872","11046400","8554320","4878928","4905482","6982692","5430589","5938412","5935466","5972271","5939048","5943688","6034411","6035112"
"동작구","2","43118603","20246116","22872500","5601644","8286453","7417957","6320205","5787074","9705267","11434564","8845405","4987081","4998153","7215857","5637552","6127558","6127485","6142684","6120674","6123471","6231316","6245437"
"동작구","1","43522092","20457559","23064536","5545340","8225365","7514898","6389816","5898340","9948337","11421659","8947431","5094886","5108463","7295404","5654250","6192761","6182431","6181617","6159621","6148345","6306941","6350375"
"동작구","4","41703360","19667123","22036240","5388563","8164070","7187989","6129992","5609839","9222907","11099708","8533824","4813445","4837425","6965831","5453131","5951283","5931377","5927581","5911977","5916608","6029261","6035299"
"금천구","1","26178795","12984209","13194600","2796345","3994118","4696281","4100171","4369803","6222082","6978373","5398521","3069918","3066534","4262568","3402882","3746733","3732617","3726141","3728232","3719672","3729536","3795874"
"서대문구","4","41385571","18918824","22466757","5307951","9264275","6749829","6224720","5652236","8186567","9868249","8476790","5327128","5395629","7198790","5118998","5919138","5987180","5991039","5986469","5967921","5806054","5727792"
