"동대문구","회기역 2번","전자상거래업","9","27"
"강남구","한티역","전자상거래업","13","8"
"서초구","염곡동 구룡사(포이동성당)","전자상거래업","8","7"
"용산구","삼각지역","전자상거래업","16","5"
"서초구","신중초등학교","전자상거래업","4","6"
"송파구","마천중앙시장","인테리어","8","4"
"강서구","신월중앙시장","전자상거래업","15","6"
"광진구","중곡1동 마을마당","전자상거래업","7","8"
"강동구","강동성심병원","화초","10","7"
"구로구","한국SGI본부","전자상거래업","7","8"
"광진구","화양사거리","전자상거래업","15","9"
"마포구","홍대 걷고싶은 거리","전자상거래업","12","13"
"광진구","장로회신학대학교","전자상거래업","8","8"
"성북구","성신여대입구역 1번","전자상거래업","16","13"
"동작구","노량진초등학교","전자상거래업","7","7"
"광진구","자양4동주민센터","전자상거래업","8","7"
"구로구","구로역","전자상거래업","2","4"
"은평구","연서시장","조명용품","6","10"
"강서구","곰달래도서관","전자상거래업","9","7"
"광진구","아차산역 1번","전자상거래업","11","11"
"영등포구","당산2동(영등포우체국)","전자상거래업","12","8"
"동작구","대방역 3번","전자상거래업","26","7"
"노원구","공릉동 도깨비시장","전자상거래업","14","11"
"광진구","푸른동산공원","전자상거래업","16","10"
"서대문구","영천시장입구","화초","2","8"
"강북구","가오리역 2번","전자상거래업","11","6"
"영등포구","영등포역 2번","전자상거래업","12","12"
"성북구","KT월곡지사","전자상거래업","14","5"
"서초구","방배동가구거리(사당동가구거리)","전자상거래업","11","12"
"강북구","수송초등학교","전자상거래업","15","10"
"중랑구","사가정역 1번","전자상거래업","13","10"
"광진구","능동우편취급국","전자상거래업","9","10"
"동대문구","신설동역 9번","전자상거래업","5","7"
"중구","백학시장","전자상거래업","9","11"
"광진구","신자초등학교","전자상거래업","11","9"
"강북구","가오리역 1번","전자상거래업","11","10"
"영등포구","대림중앙시장","자동차부품","14","11"
"양천구","신곡종합시장(신월6동 골목시장)","조명용품","10","7"
"마포구","대흥역 3번","전자상거래업","21","12"
"영등포구","신길역 3번","전자상거래업","19","12"
"마포구","신촌역 6번","악기","16","12"
"용산구","신용산역(용산역)","전자상거래업","12","9"
"종로구","경신고등학교","전자상거래업","11","8"
"강북구","송중초등학교","전자상거래업","10","10"
"노원구","마들역","전자상거래업","9","8"
"노원구","상계5동주민센터","전자상거래업","13","14"
"관악구","난향초등학교","예술품","11","22"
"관악구","신림역(신림)","전자상거래업","14","12"
"마포구","새터산","전자상거래업","13","10"
"도봉구","창동중학교","전자상거래업","23","5"
"종로구","원남동사거리","전자상거래업","7","6"
"영등포구","영등포청과시장(조광시장)","전자상거래업","6","8"
"도봉구","쌍문역동측상점가","전자상거래업","8","11"
"서대문구","홍제성원아파트","예술품","15","5"
"마포구","대흥역 2번","전자상거래업","6","8"
