"영등포구","영신상가(제일상가)","전자게임장","0","12"
"은평구","불광먹자골목 골목형상점가","신발","2","10"
"강남구","강남개포시장","수산물판매","2","10"
"광진구","강변역(테크노마트)","한복점","0","25"
"관악구","서원동상점가","DVD방","16","16"
"동대문구","장안동사거리","주류도매","3","7"
"중랑구","상봉역","자전거 및 기타운송장비","14","14"
"금천구","은행나무시장","한식음식점","14","13"
"중랑구","동성타워프라자","커피-음료","33","25"
"은평구","불광먹자골목 골목형상점가","세무사사무소","0","0"
"중구","동대문패션타운 관광특구","시계및귀금속","1","4"
"강서구","남부골목시장(남부화곡시장 남부시장)","애완동물","34","13"
"강북구","방천골목시장","세탁소","13","6"
"성동구","성동용답상가시장","가구","15","2"
"성동구","성수역","볼링장","0","0"
"관악구","인헌시장(원당종합시장)","기타오락장","16","22"
"중랑구","동성타워프라자","제과점","32","20"
"서대문구","포방터시장","세탁소","12","8"
"성동구","뚝도시장","악기","0","33"
"동작구","사당1동먹자골목상점가(사당1동먹자골목)","회계사사무소","0","0"
"중구","동대문패션타운 관광특구","반찬가게","5","6"
"서대문구","이화여대 357길 상점가","스포츠클럽","0","0"
"강동구","장신구 특화거리 상점가","가방","4","8"
"종로구","종로·청계 관광특구","커피-음료","22","15"
"영등포구","영진시장A동","커피-음료","29","20"
"동작구","사당1동먹자골목상점가(사당1동먹자골목)","일반의원","7","4"
"중랑구","신아타운","독서실","16","32"
"강남구","강남 마이스 관광특구","양식음식점","19","13"
"양천구","목동역 8번출구","변호사사무소","2","6"
"종로구","종로·청계 관광특구","반찬가게","12","4"
"서대문구","영천시장","슈퍼마켓","14","9"
"관악구","인헌시장(원당종합시장)","세탁소","15","8"
"성북구","돌곶이시장(석관황금시장)","부동산중개업","0","6"
"도봉구","오!도봉거리 상점가","한의원","0","1"
"양천구","신정2동 골목시장(오목교중앙시장)","섬유제품","3","12"
"성북구","한성대입구역","컴퓨터학원","0","33"
"동작구","사당1동먹자골목상점가(사당1동먹자골목)","스포츠 강습","20","5"
"도봉구","신도봉시장","철물점","12","5"
"강북구","방천골목시장","예술학원","11","5"
"성동구","성동용답상가시장","비디오/서적임대","0","0"
"마포구","아현시장","화초","19","8"
