guName,quCode,total,male,female,age10,age20,age30,age40,age50,age60,time1,time2,time3,time4,time5,time6,mon,tue,wed,thu,fri,sat,sun
동대문구,1,50243556,24420210,25823347,6094221,9582230,7612026,7300806,7307248,12347008,12074309,10479080,6509909,6481077,8506007,6193183,7224399,7241903,7235903,7193455,7130753,7123435,7093716
동대문구,2,50495114,24496770,25998345,6319370,9966076,7576441,7250389,7257980,12124865,12186330,10593918,6517212,6451483,8518225,6227946,7275659,7264346,7241725,7269898,7247152,7130207,7066119
동대문구,3,50538275,24527104,26011171,6087288,9799149,7712490,7375115,7298108,12266156,12228309,10597761,6511722,6462114,8508146,6230249,7226497,7240798,7286304,7299132,7261065,7156665,7067819
동대문구,4,52202681,25266874,26935808,6364621,10661831,7843991,7506167,7432301,12393763,12706338,10965944,6722249,6649722,8719729,6438682,7474924,7514771,7518569,7500445,7454824,7386973,7352176
동작구,0,170903728,80382667,90521083,21969687,32826889,29475397,25078480,23087665,38465603,45223601,35040226,19856811,19929293,28575266,22278568,24317213,24282155,24329642,24236949,24238872,24714256,24784712
동작구,1,43522092,20457559,23064536,5545340,8225365,7514898,6389816,5898340,9948337,11421659,8947431,5094886,5108463,7295404,5654250,6192761,6182431,6181617,6159621,6148345,6306941,6350375
동작구,2,43118603,20246116,22872500,5601644,8286453,7417957,6320205,5787074,9705267,11434564,8845405,4987081,4998153,7215857,5637552,6127558,6127485,6142684,6120674,6123471,6231316,6245437
동작구,3,41798385,19657028,22141360,5368446,8026658,7216952,6120752,5661697,9403872,11046400,8554320,4878928,4905482,6982692,5430589,5938412,5935466,5972271,5939048,5943688,6034411,6035112
동작구,4,41703360,19667123,22036240,5388563,8164070,7187989,6129992,5609839,9222907,11099708,8533824,4813445,4837425,6965831,5453131,5951283,5931377,5927581,5911977,5916608,6029261,6035299
마포구,0,238059038,109016762,129042273,28856746,52170142,48769813,39905236,29173020,39184123,55140858,46999230,30937402,32219435,43661541,29100630,33785089,34031735,34232383,34276874,34394970,34153446,33184521
마포구,1,58836384,27050271,31786105,7165623,12614805,12014326,9857640,7225793,9958201,13611939,11688949,7670595,7981690,10761298,7121922,8409918,8480150,8499279,8444092,8401413,8388063,8213473
마포구,2,59583025,27263632,32319394,7166073,13243949,12252071,9956603,7250080,9714266,13678694,11717213,7733969,8078226,11078051,7296889,8473235,8527392,8555508,8566752,8638993,8548983,8272165
마포구,3,58343914,26730469,31613443,7043583,12605116,11964625,9863643,7222609,9644346,13583364,11580867,7629656,7918114,10550316,7081609,8254941,8309145,8415986,8477663,8498411,8319207,8068548
마포구,4,59775080,27294312,32480772,7224683,13478894,12273652,9962741,7266624,9568498,13833187,11699373,7736848,8076036,11031288,7398367,8434281,8504033,8551132,8576357,8643274,8670539,8395447
서대문구,0,161737888,74119780,87618134,20698159,35372187,26452610,24432447,22160884,32621594,38239259,33091474,20928719,21240354,28336170,19901961,23237620,23408010,23385526,23435815,23324571,22626371,22319992
서대문구,1,39978038,18392889,21585154,5037898,8515575,6568047,6091593,5499962,8264950,9409110,8152780,5180661,5274869,7053439,4907185,5760205,5806666,5792946,5763853,5710574,5596755,5547042
서대문구,2,40608196,18609973,21998230,5327454,8954454,6643563,6118427,5493398,8070907,9511709,8313241,5282539,5360399,7156232,4984089,5869535,5891829,5847140,5892102,5879306,5656768,5571508
서대문구,3,39679714,18159604,21520114,5012841,8627144,6479360,5982948,5501979,8075433,9427321,8130354,5128287,5199304,6913533,4880933,5676778,5710556,5742725,5781656,5754861,5553535,5459604
서대문구,4,41385571,18918824,22466757,5307951,9264275,6749829,6224720,5652236,8186567,9868249,8476790,5327128,5395629,7198790,5118998,5919138,5987180,5991039,5986469,5967921,5806054,5727792
서초구,0,228020190,111017472,117002723,31539451,37434138,45343279,42488305,31186408,40028643,47554291,47661238,33709588,33825539,40405619,24863949,33800343,34524765,34323195,34497921,34108469,29292413,27473118
서초구,1,56586261,27549572,29036680,7645165,9206164,11323947,10519756,7745002,10146243,11788859,11818379,8366011,8408583,10055687,6148747,8483372,8673906,8637751,8459631,8261231,7233648,6836723
서초구,2,57391695,27955024,29436681,7886423,9548010,11494820,10664313,7829034,9969108,11853917,11998790,8511849,8539012,10245129,6242993,8641253,8710650,8450927,8698873,8676349,7356497,6857167
서초구,3,56184441,27305371,28879075,8025744,9157222,11013559,10443694,7680324,9863903,11859185,11821560,8302136,8309472,9794192,6097915,8237489,8371121,8462928,8580246,8505806,7249404,6777459
서초구,4,57643572,28110548,29533022,7944543,9493082,11473216,10825195,7901262,10006276,12026387,11979884,8492944,8527644,10263892,6352836,8406807,8737463,8739718,8728341,8634752,7423810,6972682
성동구,0,118338182,57640232,60697956,14382938,22228064,21706537,18895036,17680722,23444888,27166167,24697267,16006160,16217746,20484094,13766778,17167647,17354987,17370209,17413180,17264945,16066674,15700544
성동구,1,29415529,14352251,15063277,3578991,5347196,5390847,4716231,4411972,5970287,6728031,6147084,3981773,4029897,5107903,3420842,4290808,4338595,4336630,4289641,4231479,3999788,3928602
성동구,2,30214532,14689351,15525179,3712638,5712606,5552756,4827452,4478881,5930179,6941694,6299004,4076820,4135433,5242618,3518954,4414931,4436117,4390567,4446669,4434600,4096202,3995438
성동구,3,28999547,14122432,14877121,3521553,5437454,5311485,4645393,4350086,5733596,6703295,6059214,3917757,3968721,4981057,3369536,4181490,4213161,4265742,4302896,4265188,3937494,3833577
성동구,4,29517131,14393137,15123997,3538607,5712952,5416596,4671385,4414005,5763593,6755264,6152746,4002621,4055122,5115672,3435713,4253173,4340045,4349836,4346559,4306452,4005411,3915651
성북구,0,192954909,88183856,104771078,29846135,37807008,27421679,27727822,27079049,43073289,48077211,39042383,23401000,23883434,33774889,24776050,27402991,27411184,27445000,27422002,27385323,27891616,27996856
성북구,1,49151808,22533261,26618544,7512455,9334814,7008051,7118025,6928590,11249873,12198572,9943717,5981672,6111396,8620070,6296396,6978075,6971635,6970094,6961139,6951841,7135894,7183142
성북구,2,48955568,22322774,26632797,7736459,9628017,6886962,6993387,6799065,10911704,12226257,9886400,5905099,6036715,8593579,6307524,6954206,6952767,6963902,6955274,6938764,7082529,7108138
성북구,3,46923620,21474874,25448759,7161337,9110068,6724028,6784542,6641556,10502117,11662199,9488157,5709416,5831699,8218112,6014064,6653327,6670984,6682914,6691832,6692714,6766813,6765064
성북구,4,47842662,21814841,26027834,7425206,9722707,6791877,6818871,6697312,10386710,11966523,9706358,5795388,5894994,8331624,6147784,6806017,6804228,6816813,6802251,6790540,6894500,6928324
송파구,0,281476331,132907253,148569090,43059385,42189999,52746696,46023977,40775306,56680974,71701255,57380554,34165981,34340354,48116262,35771961,40234051,40289457,40393560,40364239,40337996,40138769,39718279
송파구,1,69587879,32927194,36660697,10544278,10448089,13000214,11317768,10113008,14164525,17769246,14218323,8456049,8487992,11840634,8815650,9985987,9992401,9989416,9942092,9898935,9916563,9862496
송파구,2,69635988,32833704,36802278,10667981,10499770,13071746,11391544,10043575,13961372,17827543,14165244,8397774,8442476,11926472,8876490,9960231,9972588,9979783,9979785,10007343,9931910,9804344
송파구,3,69881297,32961447,36919850,10774419,10427021,13030921,11413099,10167993,14067844,17779708,14281004,8524285,8561304,11888953,8846051,9944485,9965462,10061203,10079833,10071075,9945371,9813871
송파구,4,70201125,33176211,37024921,10733516,10481988,13206283,11529766,10173322,14076254,17707970,14261959,8550346,8618116,12120106,8942631,10032644,10049356,10053036,10053697,10054476,10032166,9925759
양천구,0,162943741,76684796,86258950,31287771,19922406,23524037,26226240,24447720,37535567,44263013,32970129,18561999,18658081,26873163,21617364,23112860,23028491,23063356,23020835,23064135,23712872,23941208
양천구,1,41309455,19425073,21884382,7868753,5076213,5966340,6641208,6235045,9521896,11077859,8384390,4757030,4782300,6849313,5458562,5859327,5826190,5824674,5833895,5849174,6028509,6087694
양천구,2,40444411,18995521,21448881,7851099,4934423,5838011,6491535,6049620,9279715,11060811,8169107,4566105,4595808,6656646,5395930,5723745,5710466,5738954,5707515,5725755,5896543,5941431
양천구,3,40250827,18945042,21305786,7765798,4970660,5806646,6464474,6015587,9227667,10914457,8119116,4604260,4627556,6652049,5333392,5694544,5704319,5719044,5703099,5699483,5840681,5889661
양천구,4,39723104,18727364,20995752,7631428,4813092,5756509,6450948,5935430,9135697,10844574,8039533,4502370,4527424,6538043,5271170,5664434,5619118,5611914,5605103,5617707,5768619,5836215
영등포구,0,198567022,97880285,100686770,21756955,31071130,38498424,32670252,31719675,42850669,46916403,40890145,25806873,26079698,34644337,24229660,28533128,28620417,28603520,28617509,28612873,27863161,27716476
영등포구,1,49611861,24539360,25072509,5455540,7796049,9570205,8130679,7833834,10825582,11657572,10217461,6472625,6542817,8686673,6034730,7151524,7165079,7154165,7118635,7086005,6982098,6954362
영등포구,2,49811548,24543863,25267689,5477762,7845782,9656435,8203897,7910693,10716990,11788089,10268294,6454462,6515713,8705209,6079806,7185259,7185884,7136266,7173157,7200440,6992505,6938043
영등포구,3,48949560,24088602,24860971,5364038,7608499,9475173,8032590,7899337,10569945,11609095,10098540,6359818,6427081,8491672,5963374,7025190,7032885,7085539,7105194,7096604,6827217,6776955
영등포구,4,50065184,24642935,25422257,5444339,7800803,9766247,8279508,8058777,10715531,11830348,10278726,6502666,6576773,8739996,6136707,7151657,7216905,7207967,7201143,7210948,7045130,7031458
용산구,0,138196412,66464096,71732325,14841148,24120279,28895850,23811449,19136871,27390839,34320945,28762718,17519850,17539188,23112211,16941513,19719886,19810526,19859312,19872005,19907924,19569953,19456821
용산구,1,34558477,16715978,17842497,3686453,5904687,7178824,6022895,4807335,6958285,8585051,7235852,4397142,4384392,5749460,4206566,4967174,4990715,4989338,4965832,4935575,4849807,4860041
용산구,2,34742525,16699783,18042746,3777962,6117580,7275160,5991961,4772883,6806980,8581678,7221995,4417798,4432046,5843133,4245879,4976260,4996258,4985189,4998330,5022967,4894214,4869320
용산구,3,33637800,16147038,17490763,3582477,5798754,7034586,5792619,4700317,6729070,8380901,7012508,4263493,4271337,5590774,4118793,4790677,4808060,4848008,4874211,4863030,4741463,4712353
용산구,4,34965110,16766124,18198993,3752672,6270031,7360331,5956525,4815321,6810229,8678437,7231281,4410850,4420763,5889992,4333804,4943316,4973128,4994433,4991013,5044501,5043627,4975087
은평구,0,251760399,113103160,138657254,38508349,34434627,37932774,39175796,38027270,63681613,68411195,51253816,28132394,28297053,41728668,33937313,35693882,35488991,35536555,35456450,35538531,36824227,37221812
은평구,1,64171656,28943268,35228386,9697329,8791297,9727321,9971664,9666415,16317643,17326429,13076852,7217756,7246314,10673207,8631104,9074913,9010749,9006974,9039405,9075702,9428401,9535523
은평구,2,62813111,28187424,34625702,9607172,8593141,9464984,9798302,9472504,15877026,17183403,12791846,6963617,6985120,10384785,8504343,8885534,8851829,8904479,8837523,8855937,9190607,9287201
은평구,3,62487925,28049721,34438208,9535004,8575958,9376719,9732191,9482114,15785940,16936491,12694087,7016360,7069261,10368667,8403067,8844843,8835705,8849158,8814235,8817494,9122600,9203913
은평구,4,62196768,27878419,34318346,9656889,8462657,9350164,9659482,9391223,15676350,16945515,12671244,6922953,6984141,10285319,8387617,8875664,8777677,8762926,8752404,8776430,9069394,9182287
종로구,0,144169403,71642632,72526763,13594633,26041811,23639719,24206326,24140739,32546190,28169284,29572265,22842295,22989634,25640292,14955692,21168775,21699279,21724037,21802795,21504525,18836354,17433702
종로구,1,35260451,17683783,17576667,3315161,6177194,5807163,5989111,5930650,8041180,6936084,7254439,5570433,5619979,6243724,3635797,5232246,5398489,5388813,5278189,5157021,4548472,4257220
종로구,2,36765489,18247919,18517560,3548128,6620496,6054454,6167998,6136907,8237513,7070542,7549206,5879785,5888651,6591602,3785711,5474823,5565446,5489071,5573726,5527376,4751233,4383851
종로구,3,34809203,17291546,17517664,3224493,6273708,5691521,5835792,5852800,7930899,6923638,7199052,5480160,5499459,6091959,3614954,5086917,5159756,5217569,5337210,5269382,4537914,4200470
종로구,4,37045253,18286429,18758820,3456698,6932593,6052169,6170409,6176799,8256576,7172262,7509214,5876194,5944405,6662470,3880734,5332779,5533599,5586644,5572116,5508987,4958559,4552580
중구,0,161687103,81859351,79827769,10558202,27553766,34393736,30823487,26493332,31864614,27863069,34509702,28045659,27715605,28072488,15480618,24539135,25420746,25208304,25429348,24980362,19071493,17037714
중구,1,39547674,20135498,19412172,2500694,6651321,8429756,7573729,6481657,7910521,6820452,8419772,6843896,6798996,6886615,3777952,6109940,6353882,6308814,6119886,5897030,4600736,4157378
중구,2,41474191,20924137,20550061,2720823,7006001,8839605,7929040,6790109,8188632,7076523,8866191,7224616,7118241,7221374,3967271,6437380,6545014,6296407,6536503,6472872,4865668,4320365
중구,3,38880551,19719597,19160961,2580952,6623290,8224326,7359406,6378799,7713786,6801280,8392830,6726412,6615208,6631653,3713168,5832414,5977272,6024199,6214247,6150670,4585273,4096459
중구,4,41684137,21030799,20653344,2747732,7260602,8879358,7940348,6826956,8029144,7148385,8808249,7233494,7165836,7315279,4012899,6143820,6528474,6562936,6543139,6444747,5008567,4452460
중랑구,0,214941737,100542750,114398992,28549996,29764818,33103134,31735129,36272642,55516023,58624559,43642536,24189312,24314272,35520141,28650951,30498471,30282145,30305250,30186616,30268798,31435571,31964916
중랑구,1,55617463,26056328,29561139,7485916,7659458,8566041,8183790,9369881,14352384,15091541,11348417,6306465,6309297,9179370,7382385,7879285,7802679,7791055,7828398,7849912,8163263,8302876
중랑구,2,53963656,25188590,28775065,7237223,7496118,8283680,7975194,9065058,13906383,14829607,10956573,6026553,6047242,8887432,7216241,7639106,7604525,7634716,7581326,7587601,7899606,8016767
중랑구,3,53064810,24826616,28238190,6983929,7394643,8194053,7833934,8970489,13687767,14465007,10743496,5980597,6025798,8773536,7076394,7535378,7509643,7525219,7437946,7474813,7721331,7860490
중랑구,4,51985020,24319206,27665820,6812578,7163517,8008319,7696843,8812101,13491657,14162257,10533609,5839850,5893980,8621813,6933524,7401222,7321799,7310670,7295390,7313012,7604885,7738063
