"노원구","2","CS3","150044638"
"금천구","3","CS2","68796171"
"금천구","3","CS1","159409799"
"영등포구","4","CS1","279580664"
"영등포구","4","CS2","76411749"
"영등포구","4","CS3","410124913"
"서초구","2","CS2","259430035"
"서초구","2","CS3","416710907"
"용산구","4","CS1","263413015"
"용산구","4","CS2","57084391"
"도봉구","4","CS2","64974924"
"관악구","4","CS1","132621338"
"강북구","3","CS3","131497774"
"도봉구","4","CS1","97398511"
"관악구","4","CS2","83968141"
"용산구","4","CS3","1163540430"
"관악구","4","CS3","170927468"
"금천구","3","CS3","535319240"
"도봉구","4","CS3","147930906"
"강북구","4","CS1","115059532"
"강북구","4","CS3","136971645"
"강북구","4","CS2","62473064"
"동대문구","1","CS2","66653007"
"동대문구","1","CS3","462149876"
"노원구","1","CS3","144758863"
"노원구","1","CS1","138515293"
"동대문구","1","CS1","99471602"
"노원구","1","CS2","126139905"
"금천구","4","CS3","556094440"
"금천구","4","CS2","79810936"
"금천구","4","CS1","191997160"
"은평구","1","CS1","80603666"
"강서구","3","CS2","75565259"
"강서구","3","CS3","230203404"
"마포구","1","CS3","297927335"
"강서구","3","CS1","116968313"
"은평구","1","CS2","59579453"
"마포구","1","CS1","195328421"
"은평구","1","CS3","140533203"
"마포구","1","CS2","82583791"
"양천구","3","CS3","141898033"
"양천구","3","CS2","112860576"
"양천구","3","CS1","122488690"
"서대문구","2","CS2","82386826"
"서대문구","2","CS3","165167638"
"송파구","2","CS1","268577431"
"중랑구","3","CS3","132159081"
"송파구","2","CS2","128684095"
"송파구","2","CS3","473458714"
"서대문구","2","CS1","121252209"
"중랑구","3","CS1","99645350"
"중랑구","3","CS2","54684774"
"강북구","2","CS1","104744069"
"노원구","3","CS1","154610394"
"노원구","3","CS2","133983787"
"동대문구","3","CS1","107077882"
"동대문구","3","CS3","595848049"
"노원구","3","CS3","161460164"
"동대문구","3","CS2","70175903"
"서초구","1","CS3","368921123"
"서초구","1","CS2","258526281"
"서초구","1","CS1","310612357"
"성동구","2","CS1","158476857"
"강북구","2","CS2","56856756"
"도봉구","3","CS1","88964257"
"강북구","2","CS3","125050945"
"성동구","2","CS3","248661230"
"도봉구","3","CS3","146104820"
"성동구","2","CS2","66741145"
"도봉구","3","CS2","58963289"
"광진구","1","CS2","65983366"
"강서구","1","CS1","111526953"
"광진구","1","CS3","185036784"
"강서구","1","CS3","224108306"
"광진구","1","CS1","126720993"
"강서구","1","CS2","67282969"
"송파구","4","CS2","132755312"
"송파구","4","CS1","282828616"
"양천구","1","CS2","103416923"
"양천구","1","CS3","128456313"
"양천구","1","CS1","109916630"
"동작구","2","CS2","101641709"
"동작구","2","CS3","468528635"
"강동구","2","CS1","148718613"
"동작구","2","CS1","146626165"
"강동구","2","CS3","205404621"
"강동구","2","CS2","100022821"
"송파구","4","CS3","424081107"
"은평구","2","CS2","62636675"
"강서구","2","CS2","75713480"
"은평구","2","CS1","90794968"
"강서구","2","CS1","129074346"
"구로구","4","CS1","167634159"
"구로구","4","CS2","67398859"
"강서구","2","CS3","217574438"
"구로구","4","CS3","382588816"
"종로구","1","CS3","448855446"
"종로구","1","CS2","81129585"
"종로구","1","CS1","281056745"
"은평구","2","CS3","150001781"
"양천구","2","CS3","132951173"
"양천구","2","CS2","110953378"
"양천구","2","CS1","129655570"
"동작구","1","CS1","121459506"
"동작구","1","CS2","93647899"
"동작구","1","CS3","566969266"
"용산구","3","CS1","184455911"
"용산구","3","CS3","1084223576"
"중랑구","4","CS1","113052614"
"용산구","3","CS2","55048758"
"중랑구","4","CS3","124684994"
"중랑구","4","CS2","60190223"
"동대문구","2","CS3","465509294"
"중구","1","CS1","337178090"
"중구","1","CS2","107606907"
"동대문구","2","CS1","117425899"
"중구","1","CS3","636156804"
"동대문구","2","CS2","72260431"
"도봉구","2","CS3","135614218"
"성북구","2","CS3","95770392"
"성북구","2","CS2","53700994"
"성북구","2","CS1","98745610"
"성동구","1","CS3","216275288"
"성동구","1","CS2","59784438"
"도봉구","2","CS1","91749542"
"성동구","1","CS1","132292103"
"도봉구","2","CS2","63032290"
