"강북구","2021","발달상권","2384","11","12"
"동대문구","2019","발달상권","5014","9","12"
"강북구","2018","골목상권","4663","14","17"
"중랑구","2020","발달상권","804","13","13"
"강동구","2021","발달상권","5652","9","10"
"강남구","2020","골목상권","5314","11","11"
"강북구","2019","전통시장","1449","12","15"
"종로구","2020","전통시장","3457","6","8"
"서초구","2021","골목상권","4453","7","9"
"강북구","2018","전통시장","1480","12","15"
"양천구","2018","골목상권","5247","12","15"
"송파구","2017","전통시장","1987","13","15"
"관악구","2018","골목상권","7374","13","17"
"구로구","2018","전통시장","1091","12","13"
"도봉구","2019","발달상권","488","11","14"
"성동구","2020","골목상권","5010","11","9"
"은평구","2018","발달상권","1744","13","15"
"광진구","2021","골목상권","6583","11","10"
"종로구","2019","관광특구","5527","6","10"
"용산구","2021","전통시장","809","8","8"
"광진구","2017","골목상권","6606","14","14"
"금천구","2019","골목상권","5001","11","12"
"광진구","2020","발달상권","6079","10","12"
"노원구","2018","전통시장","620","13","13"
"서대문구","2019","발달상권","3697","12","15"
"동대문구","2021","전통시장","2926","8","8"
"중구","2020","전통시장","13992","4","9"
"송파구","2018","골목상권","8478","12","14"
"강동구","2017","골목상권","7669","15","15"
"관악구","2017","전통시장","2317","14","14"
"마포구","2021","발달상권","9389","13","12"
"마포구","2021","전통시장","2875","11","10"
"송파구","2021","전통시장","1887","11","9"
"관악구","2021","발달상권","2752","12","12"
"용산구","2020","발달상권","8050","6","9"
"성동구","2018","발달상권","2536","14","14"
"광진구","2021","전통시장","946","9","9"
"중랑구","2021","전통시장","1955","10","10"
"금천구","2018","전통시장","1259","10","13"
"종로구","2020","골목상권","3328","9","11"
"강북구","2019","골목상권","4579","14","15"
"강서구","2017","골목상권","9187","15","15"
"영등포구","2019","발달상권","9427","11","12"
"강서구","2020","발달상권","5273","20","15"
"관악구","2019","골목상권","7250","14","14"
"도봉구","2018","발달상권","500","13","13"
"서대문구","2021","골목상권","4427","11","10"
"동대문구","2021","골목상권","7323","8","9"
"구로구","2019","전통시장","1086","11","13"
"영등포구","2018","발달상권","9565","10","14"
"중랑구","2021","골목상권","7654","12","10"
"강동구","2020","발달상권","5721","9","13"
"동작구","2019","발달상권","4265","10","15"
"강북구","2017","전통시장","1528","15","15"
"종로구","2019","발달상권","15395","9","10"
"용산구","2017","골목상권","6175","14","13"
"노원구","2019","전통시장","621","15","14"
"중구","2021","전통시장","13360","3","7"
"양천구","2017","골목상권","5372","13","15"
"강남구","2017","관광특구","981","14","10"
"양천구","2020","발달상권","5099","10","13"
"노원구","2017","발달상권","4491","16","16"
"강남구","2018","발달상권","36411","11","14"
"송파구","2017","골목상권","8666","14","15"
"종로구","2018","관광특구","5671","8","10"
"구로구","2017","발달상권","8564","14","11"
"마포구","2017","골목상권","7583","17","14"
"마포구","2020","발달상권","9373","13","15"
"서초구","2020","골목상권","4488","8","8"
"강동구","2018","발달상권","5960","11","16"
"구로구","2020","골목상권","6392","10","11"
"중구","2017","골목상권","2303","12","12"
"용산구","2021","발달상권","7883","7","7"
"중랑구","2019","전통시장","1922","12","12"
"금천구","2017","골목상권","5263","13","14"
"중랑구","2017","발달상권","827","17","15"
"서초구","2019","골목상권","4422","9","11"
"동대문구","2020","전통시장","2972","8","8"
"강서구","2021","전통시장","1419","10","10"
"성북구","2019","발달상권","2556","12","15"
"광진구","2020","골목상권","6547","11","11"
"중랑구","2020","전통시장","1949","12","12"
"강북구","2021","골목상권","4641","11","10"
"동대문구","2017","발달상권","5295","12","14"
"송파구","2020","골목상권","8468","11","11"
"동대문구","2019","전통시장","2980","8","10"
"중구","2019","발달상권","18552","6","10"
"은평구","2019","발달상권","1727","14","14"
"강남구","2017","전통시장","1307","11","13"
"동작구","2020","골목상권","4542","11","12"
"도봉구","2020","골목상권","5012","10","12"
"서대문구","2020","골목상권","4418","10","11"
"관악구","2020","골목상권","7299","13","13"
"노원구","2020","전통시장","637","18","13"
"서대문구","2021","발달상권","3517","10","11"
"영등포구","2017","발달상권","9782","15","15"
"금천구","2020","발달상권","6465","7","11"
"용산구","2018","골목상권","6136","12","13"
"영등포구","2019","전통시장","2521","7","9"
"중구","2020","발달상권","18537","5","10"
"노원구","2018","발달상권","4452","13","15"
"종로구","2017","골목상권","3137","14","13"
"성동구","2017","전통시장","3465","12","12"
"강동구","2021","전통시장","1532","12","10"
"성북구","2017","골목상권","7040","13","14"
"강서구","2018","발달상권","4686","16","17"
"마포구","2017","전통시장","2859","16","17"
"종로구","2018","발달상권","15543","9","11"
"종로구","2020","발달상권","15357","7","10"
"용산구","2020","골목상권","6199","10","11"
"동작구","2019","골목상권","4567","13","14"
"은평구","2017","골목상권","7519","15","14"
"강남구","2018","관광특구","916","3","14"
"광진구","2019","골목상권","6492","12","13"
"송파구","2021","발달상권","15783","9","9"
"은평구","2020","발달상권","1724","10","13"
"성북구","2020","발달상권","2550","9","14"
"양천구","2017","전통시장","1546","14","13"
"구로구","2019","골목상권","6473","12","14"
"동대문구","2018","발달상권","5156","10","14"
"금천구","2018","발달상권","6304","9","14"
"성북구","2021","전통시장","954","11","9"
"도봉구","2021","발달상권","492","8","8"
"종로구","2021","관광특구","5106","5","8"
"양천구","2018","전통시장","1530","13","14"
"은평구","2021","전통시장","2552","10","11"
"도봉구","2017","전통시장","1517","15","15"
"중구","2018","골목상권","2244","9","13"
"중랑구","2018","발달상권","808","11","15"
"성북구","2018","발달상권","2647","14","17"
"강서구","2020","전통시장","1423","11","12"
"도봉구","2021","골목상권","5011","11","10"
"금천구","2018","골목상권","5108","11","14"
"중구","2021","관광특구","20540","3","8"
"강남구","2018","전통시장","1276","10","13"
"구로구","2017","전통시장","1105","14","13"
"동작구","2021","골목상권","4539","10","10"
"용산구","2019","골목상권","6123","11","12"
"강동구","2017","발달상권","6153","15","17"
"강동구","2019","전통시장","1469","14","15"
"금천구","2021","발달상권","6394","8","8"
"종로구","2021","전통시장","3420","5","6"
"강남구","2019","관광특구","853","3","9"
"양천구","2019","골목상권","5171","12","14"
"강서구","2019","전통시장","1428","12","12"
"중구","2021","발달상권","17709","4","8"
"서대문구","2020","발달상권","3582","10","13"
"노원구","2019","발달상권","4332","13","15"
"강남구","2021","골목상권","5382","11","9"
"강서구","2017","발달상권","4587","24","15"
"성동구","2021","골목상권","5112","12","9"
